num_agents,edge_density,graph_type,dsan_temperature,num_actions,num_iterations,cost_range,y
90,0.99,barabasi_albert,2.0,3,500,101,37.52298850574713
25,0.5,erdos_renyi,1.0,3,1000,101,41.515759450447916
10,0.9,erdos_renyi,2.0,2,1000,11,4.601713790417256
75,0.5,erdos_renyi,2.0,6,1000,501,221.52445740250957
10,0.9,erdos_renyi,2.0,10,100,51,19.322743796428004
75,0.1,erdos_renyi,1.0,7,200,51,20.467082073693636
75,0.5,erdos_renyi,5.0,8,100,51,23.43162890466442
100,0.75,barabasi_albert,2.0,2,100,501,187.65532879818593
10,0.25,barabasi_albert,0.75,3,50,11,2.5833333333333335
50,0.5,complete,10.0,10,200,501,227.71514161220043
75,0.1,erdos_renyi,0.75,8,50,501,197.9019957775881
10,0.5,erdos_renyi,5.0,3,200,51,18.51231884057971
10,0.1,complete,2.0,4,200,4,1.3333333333333333
100,0.25,complete,10.0,6,50,11,5.201023982753974
10,0.25,barabasi_albert,5.0,4,50,11,3.0833333333333335
90,0.9,barabasi_albert,0.75,4,50,11,4.289029535864979
100,0.99,erdos_renyi,1.0,4,1000,51,23.62080473938072
100,0.9,erdos_renyi,0.75,9,100,4,1.9317081791966284
90,0.75,erdos_renyi,10.0,8,1000,4,1.961581508075516
50,0.5,erdos_renyi,5.0,8,100,501,226.06880076217377
75,0.99,barabasi_albert,0.75,9,200,4,1.7685185185185184
100,0.75,erdos_renyi,2.0,3,100,101,46.94143027078706
75,0.9,complete,0.75,10,1000,11,5.208917367507676
100,0.9,erdos_renyi,5.0,2,50,51,24.32840062008694
75,0.25,erdos_renyi,10.0,3,1000,101,42.63407868518055
100,0.9,complete,0.75,4,100,4,1.9020576131687241
25,0.75,barabasi_albert,1.0,2,1000,51,18.47058823529412
10,0.5,complete,10.0,4,50,4,1.7272727272727273
90,0.5,barabasi_albert,1.0,2,100,4,1.696969696969697
50,0.25,barabasi_albert,2.0,9,500,101,28.63888888888889
50,0.75,erdos_renyi,5.0,9,200,101,46.378112477025525
10,0.99,erdos_renyi,1.0,8,50,51,18.955555555555552
75,0.75,barabasi_albert,5.0,10,1000,101,38.93272171253822
25,0.9,barabasi_albert,1.0,4,500,51,17.178861788617883
75,0.9,erdos_renyi,2.0,5,500,11,5.080636468776731
25,0.9,erdos_renyi,0.75,10,50,11,4.957438778933244
90,0.75,complete,2.0,6,200,501,231.1978021978022
10,0.75,barabasi_albert,2.0,10,1000,501,106.11111111111113
50,0.9,complete,5.0,5,100,101,45.378402903811256
100,0.1,complete,2.0,10,200,4,1.8936026936026937
90,0.5,barabasi_albert,2.0,2,200,101,38.53787878787878
90,0.25,complete,0.75,10,1000,11,5.020979020979021
10,0.5,complete,0.75,9,50,11,4.409090909090909
100,0.75,complete,2.0,6,1000,101,47.09545617816091
25,0.5,barabasi_albert,2.0,4,50,501,139.18840579710147
50,0.5,barabasi_albert,1.0,3,500,101,33.416666666666664
100,0.5,barabasi_albert,2.0,5,500,11,3.9659863945578238
25,0.5,barabasi_albert,5.0,9,500,101,27.144927536231886
10,0.5,barabasi_albert,10.0,10,1000,4,1.4583333333333333
10,0.99,barabasi_albert,2.0,7,200,11,3.511111111111111
100,0.1,erdos_renyi,5.0,2,100,4,1.910448373366483
75,0.75,barabasi_albert,5.0,5,50,501,180.80428134556576
75,0.99,erdos_renyi,2.0,10,50,501,239.21572483875443
75,0.25,complete,0.75,5,100,4,1.8003848003848004
75,0.9,erdos_renyi,1.0,2,200,501,239.12412960088886
75,0.1,barabasi_albert,0.75,5,50,501,131.97619047619045
90,0.5,erdos_renyi,10.0,2,50,501,231.75497095106212
75,0.1,barabasi_albert,0.75,10,500,11,2.714285714285714
75,0.99,erdos_renyi,5.0,2,100,4,1.9331770790755602
75,0.25,barabasi_albert,2.0,7,200,501,134.72222222222223
25,0.99,complete,2.0,10,1000,501,219.0426487093154
10,0.25,erdos_renyi,10.0,2,200,4,1.5944444444444443
100,0.1,complete,10.0,9,50,51,22.37104377104377
100,0.25,complete,5.0,9,1000,101,45.505793586634326
100,0.9,barabasi_albert,5.0,4,100,501,191.08522727272728
25,0.75,complete,10.0,10,50,51,22.739259259259256
50,0.9,barabasi_albert,5.0,4,200,501,178.54263565891475
90,0.75,complete,0.75,6,100,501,231.56199356199355
