Static_Threshold, Best Costs Arr
0.75,[np.float64(30.583333333333332), np.float64(4.27840909090909), np.float64(5.094112935522627), np.float64(3.9090909090909087), np.float64(164.96969696969697), np.float64(1.5777777777777777), np.float64(1.6977777777777778), np.float64(23.392519970951344), np.float64(22.77714901643762), np.float64(5.169966329966329), np.float64(1.8578107810781077), np.float64(22.384531590413943), np.float64(184.90196078431373), np.float64(21.70438895340925), np.float64(4.40001935733643), np.float64(23.212531776186236), np.float64(1.794167480614747), np.float64(1.759543845783666), np.float64(40.964444444444446), np.float64(10.833333333333334), np.float64(19.07706093189964), np.float64(41.23776416310409), np.float64(1.7938723760641568), np.float64(3.8699186991869925), np.float64(5.04445042745201), np.float64(40.4247421182734), np.float64(3.380952380952381), np.float64(22.215451215451214), np.float64(17.69418960244648), np.float64(4.295555555555556), np.float64(239.2382716049383), np.float64(3.185185185185185), np.float64(14.263157894736844), np.float64(155.31944444444446), np.float64(1.8301698301698301), np.float64(3.0909090909090913), np.float64(16.63013698630137), np.float64(24.030168548064182), np.float64(4.022222222222222), np.float64(22.85777777777778), np.float64(22.141678015756224), np.float64(31.634703196347033), np.float64(190.38095238095238), np.float64(43.00785634118967), np.float64(229.8507543103448), np.float64(231.6980198019802), np.float64(232.7570806100218), np.float64(231.00302530253023), np.float64(4.3962647837307545), np.float64(41.78104575163399), np.float64(136.93939393939397), np.float64(1.6759259259259258), np.float64(3.5), np.float64(12.109615384615386), np.float64(223.54300514543297), np.float64(1.5530303030303028), np.float64(229.02006734006736), np.float64(36.855670103092784), np.float64(5.274857237588404), np.float64(9.916666666666666), np.float64(31.21969696969697), np.float64(1.867579908675799), np.float64(1.829451832010185), np.float64(22.85601935874168), np.float64(15.545454545454547), np.float64(1.8017951724579453), np.float64(47.127698934097076), np.float64(236.52610921663336), np.float64(1.9090563437619057), np.float64(4.3390804597701145), np.float64(23.66273442226255), np.float64(1.6296296296296295), np.float64(38.0), np.float64(16.11904761904762), np.float64(23.267985474544833), np.float64(1.1333333333333333), np.float64(46.353646353646354), np.float64(20.96732026143791), np.float64(154.69444444444446), np.float64(20.515873015873016), np.float64(48.120544217687076), np.float64(34.34177215189874), np.float64(3.75), np.float64(1.8911319394376351), np.float64(1.4545454545454544), np.float64(41.4458979268002), np.float64(23.61709770114943), np.float64(1.2857142857142858), np.float64(165.9410430839002), np.float64(155.16326530612244), np.float64(229.76347634763476), np.float64(167.8372093023256), np.float64(4.614379084967321), np.float64(216.62626262626262), np.float64(1.7925925925925927), np.float64(4.640048310391475), np.float64(1.3703703703703702), np.float64(26.771929824561408), np.float64(1.7744107744107744), np.float64(204.32554379066008), np.float64(45.757941911754365), np.float64(165.58027428759135), np.float64(26.0), np.float64(217.39287512370663), np.float64(18.433333333333334), np.float64(1.7886597938144329), np.float64(19.907172995780595), np.float64(227.21005936408835), np.float64(4.4698653198653195), np.float64(4.9139045990290615), np.float64(212.85555555555553), np.float64(161.5338081671415), np.float64(1.9256299256299254), np.float64(32.74242424242424), np.float64(170.95454545454547), np.float64(27.666666666666668), np.float64(23.219684339447685), np.float64(4.836496836496836), np.float64(210.53644950613435), np.float64(47.18744041856966), np.float64(47.158502845495285), np.float64(1.4444444444444446), np.float64(233.98185148185146), np.float64(5.160839807621161), np.float64(39.45355191256831), np.float64(190.52592592592592), np.float64(1.730886850152905), np.float64(224.56363334922068), np.float64(1.8905231786034158), np.float64(226.29696678510004), np.float64(3.6666666666666665), np.float64(146.06944444444443), np.float64(1.659090909090909), np.float64(46.20732678400341), np.float64(44.853960396039604), np.float64(1.25), np.float64(42.36289349900744), np.float64(139.97222222222226), np.float64(24.391621175812585), np.float64(18.244444444444444), np.float64(23.350458929906292), np.float64(228.1936560308501), np.float64(1.0833333333333333), np.float64(38.490679442508714), np.float64(2.3333333333333335), np.float64(45.089324618736384), np.float64(45.87654320987654), np.float64(1.7619047619047619), np.float64(227.3355335533553), np.float64(4.245614035087719), np.float64(204.0728572822776), np.float64(215.53839913897704), np.float64(191.03489771359807), np.float64(23.092929292929295), np.float64(20.162601626016258), np.float64(172.56862745098042), np.float64(1.7558139534883719), np.float64(45.93839493839494), np.float64(38.62027491408934), np.float64(236.30736561096955), np.float64(239.18789115646257), np.float64(203.00034009573483), np.float64(204.54980842911877), np.float64(1.702222222222222), np.float64(1.6862745098039216), np.float64(22.3218954248366), np.float64(3.404761904761905), np.float64(2.824561403508772), np.float64(3.0714285714285716), np.float64(1.6422018348623852), np.float64(47.84498705142434), np.float64(44.04248366013072), np.float64(192.87431693989072), np.float64(18.343548050865124), np.float64(234.04848269577246), np.float64(36.77324263038548), np.float64(36.34108527131783), np.float64(40.690370370370374), np.float64(1.8957645764576458), np.float64(23.370467890356583), np.float64(1.0), np.float64(4.4852607709750565), np.float64(1.8777888777888778), np.float64(4.252707581227436), np.float64(4.1951219512195115), np.float64(20.561301724776076), np.float64(172.93287037037035), np.float64(19.573737373737377), np.float64(13.555555555555555), np.float64(1.5972222222222223), np.float64(46.713978618336846), np.float64(4.160997732426304), np.float64(1.835510667612911), np.float64(41.50666666666667), np.float64(3.0), np.float64(1.375), np.float64(4.112403100775194), np.float64(13.194444444444445), np.float64(16.153153899240852), np.float64(1.5), np.float64(24.316462585034014), np.float64(5.099112689430698), np.float64(1.807083391808401), np.float64(33.50152905198777), np.float64(3.722222222222222), np.float64(1.648989898989899), np.float64(227.12214713391882), np.float64(31.36666666666667), np.float64(47.40642959770114), np.float64(4.923402881901184), np.float64(1.9026890024693983), np.float64(47.37618475503938), np.float64(5.185766812601666), np.float64(5.079128624058946), np.float64(37.825757575757585), np.float64(36.541666666666664), np.float64(1.6666666666666667), np.float64(173.53435114503816), np.float64(3.190740740740741), np.float64(1.6666666666666667), np.float64(173.53535353535355), np.float64(22.76278100082962), np.float64(20.027777777777775), np.float64(1.9048075243796807), np.float64(214.0915824915825), np.float64(24.122213159115176), np.float64(1.4814814814814816), np.float64(1.5939865689865689), np.float64(39.38950715421304), np.float64(213.20578684293514), np.float64(3.840136054421769), np.float64(23.9767496972928), np.float64(1.485042735042735), np.float64(35.073170731707314), np.float64(5.2111293354272155), np.float64(1.8034259616149082), np.float64(35.067129629629626), np.float64(148.26779376779376), np.float64(1.8461964850331307), np.float64(31.571428571428573), np.float64(17.629251700680275), np.float64(4.92962962962963), np.float64(1.6764488741232928), np.float64(3.414965986394558), np.float64(4.845679012345679), np.float64(5.136260163315858), np.float64(15.699186991869917), np.float64(1.8896008543585634), np.float64(1.7346938775510203), np.float64(4.771241830065359)]
1.0,[np.float64(4.809427609427609), np.float64(23.481851481851482), np.float64(23.902108843537416), np.float64(1.7918793064828684), np.float64(1.6504065040650406), np.float64(1.7788293411838172), np.float64(233.4974149659864), np.float64(4.394327598274966), np.float64(153.10267857142858), np.float64(16.0), np.float64(23.603864796791385), np.float64(1.6078431372549018), np.float64(43.55601721388124), np.float64(22.359307359307362), np.float64(226.71534653465346), np.float64(21.632996632996633), np.float64(5.196886798201264), np.float64(3.5789473684210527), np.float64(5.110290384131704), np.float64(228.46983558038002), np.float64(231.1373636717451), np.float64(28.333333333333332), np.float64(37.24537037037037), np.float64(20.788991474073075), np.float64(1.7073170731707317), np.float64(5.136902247751586), np.float64(4.3474455090112665), np.float64(19.0), np.float64(203.4364925692157), np.float64(144.59649122807016), np.float64(19.77862595419847), np.float64(41.342222222222226), np.float64(46.26371843580381), np.float64(1.8419716625584774), np.float64(216.20013320013322), np.float64(46.69710847701149), np.float64(47.94873054931643), np.float64(1.902568247126437), np.float64(229.26071285542653), np.float64(235.33193063181852), np.float64(1.8857912457912456), np.float64(1.5222222222222221), np.float64(13.333333333333334), np.float64(8.814814814814815), np.float64(16.472222222222218), np.float64(1.9210668103448274), np.float64(37.72757237908391), np.float64(4.438596491228071), np.float64(46.2688679245283), np.float64(24.20241824790649), np.float64(5.272925170068027), np.float64(44.07420956550186), np.float64(233.8758510212255), np.float64(21.622222222222224), np.float64(1.8653481163633536), np.float64(1.709480122324159), np.float64(1.8734598734598735), np.float64(45.424144435462146), np.float64(203.24621212121212), np.float64(46.05240765590066), np.float64(22.62097162097162), np.float64(143.1176470588235), np.float64(36.12027491408935), np.float64(1.8291139240506329), np.float64(1.803030303030303), np.float64(247.33333333333334), np.float64(5.10257459940341), np.float64(42.22814814814814), np.float64(39.685792349726775), np.float64(1.7878787878787878), np.float64(112.12121212121212), np.float64(39.95593869731801), np.float64(1.8582071617399663), np.float64(172.19672131147544), np.float64(4.226299694189602), np.float64(23.596582565745564), np.float64(1.494017094017094), np.float64(40.98168122959478), np.float64(1.9260300773994856), np.float64(1.808888888888889), np.float64(5.043290043290043), np.float64(3.675925925925926), np.float64(171.7596899224806), np.float64(4.251908396946565), np.float64(23.980533382414873), np.float64(3.6666666666666665), np.float64(1.6231884057971016), np.float64(24.229189789123193), np.float64(36.93470790378007), np.float64(3.3194444444444446), np.float64(22.666666666666668), np.float64(225.23762376237622), np.float64(17.733333333333334), np.float64(1.922573755172874), np.float64(45.24657534246575), np.float64(23.941473578984795), np.float64(45.855846042120554), np.float64(159.08333333333334), np.float64(142.75), np.float64(17.0), np.float64(232.38091804854602), np.float64(36.4), np.float64(22.916666666666668), np.float64(15.637037037037038), np.float64(47.017764700511776), np.float64(2.4166666666666665), np.float64(41.37363834422658), np.float64(44.02995818399044), np.float64(43.46586782861292), np.float64(21.25), np.float64(1.7799564270152508), np.float64(222.66795724844465), np.float64(1.6967213114754098), np.float64(1.89970401431868), np.float64(1.6910569105691058), np.float64(4.229508196721312), np.float64(4.95789068174039), np.float64(190.84), np.float64(210.5885484841646), np.float64(8.0), np.float64(24.254372687521023), np.float64(3.0909090909090913), np.float64(1.717687074829932), np.float64(12.435897435897436), np.float64(1.8488278092158446), np.float64(4.9557205720572055), np.float64(234.1738173817382), np.float64(36.403669724770644), np.float64(1.842200154474236), np.float64(5.006461445384759), np.float64(23.42659954233081), np.float64(4.841377059211504), np.float64(5.113336003203845), np.float64(77.0), np.float64(37.196969696969695), np.float64(21.91701828410689), np.float64(1.6078431372549022), np.float64(44.16294160057678), np.float64(46.849911901329484), np.float64(13.222222222222221), np.float64(5.148018648018648), np.float64(3.1228070175438596), np.float64(45.57343034222581), np.float64(22.50073611978685), np.float64(4.511627906976745), np.float64(230.45324187336345), np.float64(1.746212121212121), np.float64(4.421052631578948), np.float64(4.668384879725086), np.float64(1.804192455054524), np.float64(16.57142857142857), np.float64(1.9038005324177962), np.float64(27.716397849462368), np.float64(27.61904761904762), np.float64(4.18610476957855), np.float64(4.9762867151711125), np.float64(228.13967643761012), np.float64(4.644880174291939), np.float64(37.9537037037037), np.float64(17.527131782945734), np.float64(113.75925925925925), np.float64(142.64444444444442), np.float64(23.887577611964257), np.float64(22.81469335728326), np.float64(4.8049382716049385), np.float64(110.0), np.float64(1.909979911990576), np.float64(3.5833333333333335), np.float64(220.47219447219447), np.float64(41.02752528419739), np.float64(223.80942081230475), np.float64(5.196516387093876), np.float64(4.748843482027236), np.float64(1.7277353689567427), np.float64(23.02722323049002), np.float64(14.731481481481481), np.float64(22.545454545454543), np.float64(167.49726775956285), np.float64(18.199074074074076), np.float64(4.613910008437198), np.float64(4.066666666666666), np.float64(166.66666666666666), np.float64(35.627450980392155), np.float64(1.6736842105263159), np.float64(17.363636363636363), np.float64(5.226456428462961), np.float64(48.00441451552563), np.float64(47.2923995271645), np.float64(1.7386363636363635), np.float64(1.7733333333333334), np.float64(19.93972972972973), np.float64(2.0833333333333335), np.float64(3.4393939393939394), np.float64(129.27272727272728), np.float64(1.7892412676382143), np.float64(36.98979591836735), np.float64(4.693437274761959), np.float64(1.0), np.float64(3.9689922480620154), np.float64(8.666666666666666), np.float64(45.7636543307349), np.float64(3.7642276422764227), np.float64(5.1127719893951316), np.float64(10.75438596491228), np.float64(47.02694688901261), np.float64(5.01065601065601), np.float64(45.10054454386178), np.float64(37.375), np.float64(157.81818181818178), np.float64(232.12558900950458), np.float64(4.091743119266055), np.float64(1.6860465116279066), np.float64(1.659090909090909), np.float64(4.3500000000000005), np.float64(41.17171717171717), np.float64(127.38095238095237), np.float64(35.784090909090914), np.float64(226.94063807623965), np.float64(3.843137254901961), np.float64(223.25498678202356), np.float64(23.338059786663262), np.float64(23.292904290429046), np.float64(5.2050107758620685), np.float64(1.904973374845385), np.float64(145.768115942029), np.float64(1.424242424242424), np.float64(3.7592592592592595), np.float64(25.652236652236653), np.float64(1.785026966412132), np.float64(12.157894736842104), np.float64(42.82962962962963), np.float64(45.955807060091615), np.float64(231.96105804588424), np.float64(4.379083618520238), np.float64(16.49230769230769), np.float64(149.37254901960785), np.float64(210.65768799102133), np.float64(225.47619047619048), np.float64(1.8037974683544302), np.float64(233.82464646464646), np.float64(142.47916666666666), np.float64(47.47283163671881), np.float64(5.07076837263223), np.float64(20.736099432769283), np.float64(45.991021324354655), np.float64(43.96308718958122), np.float64(3.0), np.float64(4.086956521739131), np.float64(1.7663020163020162), np.float64(4.733252841366432)]
2.0,[np.float64(23.06315419822913), np.float64(227.7305967182164), np.float64(27.99242424242424), np.float64(17.40639269406393), np.float64(46.88622485632184), np.float64(4.110091743119266), np.float64(22.596070596070593), np.float64(18.712121212121215), np.float64(3.534722222222222), np.float64(23.75300336376742), np.float64(233.72768425203745), np.float64(175.5151515151515), np.float64(236.74739381598974), np.float64(235.790204160165), np.float64(4.790123456790123), np.float64(12.72549019607843), np.float64(1.9209427609427612), np.float64(1.515151515151515), np.float64(221.14743904638996), np.float64(6.666666666666667), np.float64(230.61148337023766), np.float64(1.3333333333333333), np.float64(5.125327347549569), np.float64(207.8868832731649), np.float64(1.942902791792802), np.float64(5.17910447761194), np.float64(177.62086513994913), np.float64(46.031777664527475), np.float64(234.5003139657747), np.float64(1.8014354066985645), np.float64(1.1666666666666667), np.float64(23.744541565522336), np.float64(165.8074074074074), np.float64(3.973298880275624), np.float64(4.919753086419753), np.float64(3.4761904761904763), np.float64(24.224913545754287), np.float64(24.227244053654307), np.float64(20.679324894514767), np.float64(20.02513648324889), np.float64(31.378787878787875), np.float64(24.339574908795942), np.float64(219.45028441410693), np.float64(4.2592592592592595), np.float64(159.28455284552845), np.float64(23.110747678346893), np.float64(28.909090909090907), np.float64(183.672131147541), np.float64(188.9398148148148), np.float64(1.8723120548004895), np.float64(23.51674689313668), np.float64(36.24031007751938), np.float64(1.9091775813166496), np.float64(1.7246376811594202), np.float64(38.3469387755102), np.float64(5.149005509500821), np.float64(1.6572649572649574), np.float64(4.712104096070233), np.float64(15.675245098039218), np.float64(1.9045198695477852), np.float64(1.895449539691177), np.float64(37.74034311828881), np.float64(29.425925925925927), np.float64(5.194314687806684), np.float64(34.062222222222225), np.float64(4.576381391555305), np.float64(234.69816693904428), np.float64(46.99389567147614), np.float64(4.793333333333334), np.float64(1.5151515151515154), np.float64(1.821067821067821), np.float64(1.6666666666666667), np.float64(4.428030303030304), np.float64(39.554982817869416), np.float64(4.915960323507469), np.float64(4.637773126662015), np.float64(4.571111111111111), np.float64(10.404761904761905), np.float64(16.434782608695652), np.float64(230.20520948627598), np.float64(3.945578231292517), np.float64(5.1639057239057236), np.float64(144.75), np.float64(36.59620596205962), np.float64(1.9369489864090184), np.float64(23.51170974396311), np.float64(34.8939393939394), np.float64(231.94618506998668), np.float64(18.287878787878785), np.float64(40.892255892255896), np.float64(167.2058823529412), np.float64(1.9083484573502723), np.float64(23.70778267254038), np.float64(5.168497125859525), np.float64(4.560185185185185), np.float64(1.642857142857143), np.float64(1.6666666666666667), np.float64(1.5827586206896551), np.float64(8.481481481481481), np.float64(28.52173913043478), np.float64(20.734110106917125), np.float64(14.25), np.float64(21.407049782191024), np.float64(203.26666666666665), np.float64(4.6282828282828286), np.float64(1.889978213507625), np.float64(45.291249320140956), np.float64(19.818181818181817), np.float64(231.9797321808951), np.float64(5.20074866186252), np.float64(4.056910569105692), np.float64(30.694444444444443), np.float64(4.795363872644574), np.float64(2.4285714285714284), np.float64(161.69404200438683), np.float64(1.4166666666666667), np.float64(175.13616557734204), np.float64(214.68181818181816), np.float64(24.254625850340137), np.float64(210.07744107744108), np.float64(1.9306802721088434), np.float64(12.976190476190476), np.float64(1.8560606060606062), np.float64(1.8898971566848157), np.float64(188.08333333333334), np.float64(221.5060232153522), np.float64(4.7979797979797985), np.float64(43.768750000000004), np.float64(3.7083333333333335), np.float64(35.78415300546448), np.float64(18.236365079365083), np.float64(5.182320277900185), np.float64(1.893625129863678), np.float64(4.697167755991285), np.float64(4.095238095238095), np.float64(5.114255772402182), np.float64(47.91183259603281), np.float64(23.720572057205718), np.float64(5.1486862756564244), np.float64(4.904607922392886), np.float64(149.31372549019605), np.float64(1.8103018972792257), np.float64(47.29897959183673), np.float64(1.8181818181818183), np.float64(5.127407407407407), np.float64(35.267175572519086), np.float64(20.517777777777777), np.float64(5.193950282043205), np.float64(142.37037037037035), np.float64(36.15611814345991), np.float64(1.688888888888889), np.float64(3.6870370370370367), np.float64(22.105932139036568), np.float64(1.8762624265891539), np.float64(9.393939393939393), np.float64(1.6862745098039216), np.float64(1.9054865839006812), np.float64(20.912154031287603), np.float64(1.7878787878787878), np.float64(4.4431818181818175), np.float64(18.646464646464647), np.float64(43.200721370337895), np.float64(3.968036529680365), np.float64(218.0628507295174), np.float64(225.29702251270882), np.float64(4.961472836472836), np.float64(4.772631405207442), np.float64(16.956521739130434), np.float64(14.625), np.float64(46.60317887931035), np.float64(13.402777777777777), np.float64(3.9629629629629624), np.float64(25.24242424242424), np.float64(4.868148148148148), np.float64(10.299999999999999), np.float64(166.5), np.float64(3.92133755859246), np.float64(11.833333333333334), np.float64(22.824843785437412), np.float64(4.6866666666666665), np.float64(1.5098039215686274), np.float64(23.97677212655186), np.float64(17.613636363636363), np.float64(1.8111868470015746), np.float64(46.33408416335762), np.float64(4.166666666666667), np.float64(192.25925925925927), np.float64(36.251366120218584), np.float64(4.231481481481481), np.float64(4.508230287042093), np.float64(164.33333333333334), np.float64(5.022916331123835), np.float64(1.9439455782312924), np.float64(17.978927203065137), np.float64(1.9080896584446096), np.float64(4.965886678268222), np.float64(14.133333333333335), np.float64(3.9901960784313726), np.float64(23.348685088773195), np.float64(1.527777777777778), np.float64(3.8222222222222224), np.float64(4.522875816993464), np.float64(1.9010897675570178), np.float64(20.962500000000002), np.float64(22.720673120071506), np.float64(115.80952380952381), np.float64(20.43838383838384), np.float64(1.9078027561997997), np.float64(23.982714109243158), np.float64(213.74105780226844), np.float64(4.975876970319784), np.float64(5.254669540229885), np.float64(38.1219512195122), np.float64(39.57833333333334), np.float64(44.34008128537695), np.float64(5.0069930069930075), np.float64(1.8796630565583634), np.float64(4.408888888888889), np.float64(44.426647426647435), np.float64(41.06085660868368), np.float64(23.333333333333332), np.float64(43.49128540305011), np.float64(110.06060606060606), np.float64(24.02208902208902), np.float64(34.00505050505051), np.float64(1.885206143896524), np.float64(1.8820326678765882), np.float64(35.16645299145299), np.float64(4.194444444444445), np.float64(186.36742424242425), np.float64(10.222222222222223), np.float64(1.701388888888889), np.float64(47.360942760942756), np.float64(113.93055555555554), np.float64(214.88103254769922), np.float64(34.77863029269679), np.float64(207.8253314120499), np.float64(133.625), np.float64(1.7235772357723578), np.float64(23.986409416332965), np.float64(4.7584301876984805), np.float64(17.74300254452926), np.float64(24.390445402298848), np.float64(1.8546801346801347), np.float64(1.6363636363636365), np.float64(1.8523328523328522), np.float64(48.50067272115708), np.float64(235.23298143429193), np.float64(21.6697723892226), np.float64(4.68)]
5.0,[np.float64(223.9904979151543), np.float64(173.31963470319636), np.float64(19.962121212121215), np.float64(21.896577181208055), np.float64(4.180253623188406), np.float64(5.05044955044955), np.float64(43.0358024691358), np.float64(5.2369430685253056), np.float64(1.8219178082191778), np.float64(231.27404718693285), np.float64(1.6833333333333333), np.float64(4.890151515151516), np.float64(187.37037037037035), np.float64(24.10178464897302), np.float64(22.82613655542796), np.float64(1.6666666666666667), np.float64(1.5507246376811594), np.float64(1.734848484848485), np.float64(1.8846861252593874), np.float64(1.4166666666666667), np.float64(1.7373737373737372), np.float64(1.8383838383838385), np.float64(1.8977636537970017), np.float64(35.56565656565656), np.float64(133.73684210526315), np.float64(24.20230870091216), np.float64(21.60398234261623), np.float64(1.9366539665151121), np.float64(5.141799035114175), np.float64(34.89747474747475), np.float64(4.472222222222222), np.float64(38.217777777777776), np.float64(24.032342593217077), np.float64(4.385964912280702), np.float64(172.04444444444445), np.float64(3.9111111111111114), np.float64(48.2697343808455), np.float64(38.459016393442624), np.float64(14.666666666666666), np.float64(41.31972789115646), np.float64(4.159420289855072), np.float64(4.537878787878788), np.float64(1.9133333333333333), np.float64(1.938476327805816), np.float64(43.711438993718595), np.float64(199.19452621973596), np.float64(4.044444444444444), np.float64(23.718361158477347), np.float64(4.636132315521628), np.float64(129.33333333333334), np.float64(1.871584699453552), np.float64(32.88636363636364), np.float64(229.60531795611087), np.float64(5.0118963158639565), np.float64(35.541666666666664), np.float64(22.22447348310393), np.float64(1.934818481848185), np.float64(5.1082062454611465), np.float64(182.91555555555556), np.float64(1.9451356550592387), np.float64(18.371984982308295), np.float64(237.59805462027683), np.float64(212.56902356902356), np.float64(1.8639455782312926), np.float64(34.51557036607747), np.float64(232.7188420519059), np.float64(1.3333333333333333), np.float64(18.08080808080808), np.float64(196.94814814814814), np.float64(23.655551001281026), np.float64(21.451178451178453), np.float64(41.051546391752574), np.float64(185.1111111111111), np.float64(14.818181818181818), np.float64(1.9439183815475454), np.float64(223.37226628214373), np.float64(1.930686399218791), np.float64(1.9261276256269941), np.float64(23.76334272488215), np.float64(204.8446127946128), np.float64(14.083333333333334), np.float64(27.8030303030303), np.float64(1.9185689494059537), np.float64(23.826981246218995), np.float64(5.16237806929028), np.float64(1.25), np.float64(239.82974137931035), np.float64(5.157180838131038), np.float64(4.305874840357599), np.float64(46.81885521885522), np.float64(18.818181818181817), np.float64(48.01054421768708), np.float64(33.3287037037037), np.float64(101.16666666666667), np.float64(1.5555555555555556), np.float64(35.950980392156865), np.float64(1.9508554787040406), np.float64(4.928577561620302), np.float64(1.4166666666666667), np.float64(237.48105244252872), np.float64(44.66100566100567), np.float64(1.9313841100710263), np.float64(1.8600508905852415), np.float64(18.883720930232556), np.float64(5.052749719416386), np.float64(21.937149270482607), np.float64(208.42520442520444), np.float64(45.46928397012234), np.float64(1.8346055979643765), np.float64(20.608142493638677), np.float64(1.9507029226785055), np.float64(37.226463104325695), np.float64(8.333333333333334), np.float64(34.69614512471656), np.float64(146.22727272727272), np.float64(23.716798911457644), np.float64(217.55488227696347), np.float64(28.521604938271604), np.float64(42.95703703703703), np.float64(184.31161616161614), np.float64(176.0), np.float64(24.177302996670363), np.float64(1.8765432098765433), np.float64(1.8171296296296295), np.float64(176.8395299145299), np.float64(1.9547385026089066), np.float64(5.224244630506006), np.float64(41.43259259259259), np.float64(14.355555555555554), np.float64(1.8549618320610686), np.float64(1.9507434870650904), np.float64(5.069584736251403), np.float64(4.688327316486161), np.float64(23.421052631578945), np.float64(25.755555555555556), np.float64(44.5711692084241), np.float64(161.7142857142857), np.float64(1.820675105485232), np.float64(21.71666666666667), np.float64(182.9047619047619), np.float64(4.965506599791984), np.float64(131.3939393939394), np.float64(45.741044995074695), np.float64(201.79457364341087), np.float64(26.0), np.float64(43.87936753016526), np.float64(185.52293577981652), np.float64(24.0720495745468), np.float64(18.30612244897959), np.float64(142.7843137254902), np.float64(4.954913534858387), np.float64(23.613275087974756), np.float64(1.6666666666666667), np.float64(44.81751581751581), np.float64(1.9229937371285537), np.float64(5.0754444978375775), np.float64(18.800925925925927), np.float64(19.66216931216931), np.float64(35.99546485260771), np.float64(1.5777777777777777), np.float64(1.9334727069443367), np.float64(234.77936108122802), np.float64(1.9455845631690956), np.float64(17.36231884057971), np.float64(4.634703196347032), np.float64(1.8654434250764524), np.float64(38.032786885245905), np.float64(1.8895066821439321), np.float64(17.72222222222222), np.float64(215.58042817668127), np.float64(4.355555555555555), np.float64(29.72727272727273), np.float64(34.88888888888889), np.float64(19.784313725490197), np.float64(177.61340206185568), np.float64(37.98727735368957), np.float64(34.56), np.float64(162.44444444444443), np.float64(4.17351598173516), np.float64(26.75), np.float64(21.919967663702504), np.float64(154.18286099865045), np.float64(1.4166666666666667), np.float64(4.404761904761905), np.float64(4.333333333333333), np.float64(36.35031250690165), np.float64(23.296376396515342), np.float64(233.94019490054734), np.float64(1.3888888888888886), np.float64(23.414474414474416), np.float64(23.930714552936774), np.float64(197.54794520547944), np.float64(46.12323232323232), np.float64(19.731992034779903), np.float64(42.66387824164757), np.float64(200.4381448642432), np.float64(11.88095238095238), np.float64(173.74814814814815), np.float64(1.7684210526315791), np.float64(24.40930530966543), np.float64(18.866120218579237), np.float64(101.2962962962963), np.float64(237.21215943491424), np.float64(41.635555555555555), np.float64(1.6060606060606062), np.float64(22.255382942301058), np.float64(1.9331716518458635), np.float64(1.9405940594059405), np.float64(17.740350877192984), np.float64(23.749546279491835), np.float64(4.071789004283283), np.float64(20.026515151515152), np.float64(45.99862985009469), np.float64(4.133333333333334), np.float64(2.6666666666666665), np.float64(177.63853559441796), np.float64(143.25), np.float64(23.493617493617496), np.float64(19.603508771929828), np.float64(5.257029226785053), np.float64(1.6363636363636365), np.float64(1.9463169389356454), np.float64(15.863636363636365), np.float64(13.541312741312742), np.float64(213.88148148148147), np.float64(4.890710382513661), np.float64(19.27020202020202), np.float64(1.763888888888889), np.float64(23.09580351782785), np.float64(3.3333333333333335), np.float64(33.45777777777778), np.float64(41.931313131313125), np.float64(35.5287356321839), np.float64(5.099542223909688), np.float64(5.151177918224884), np.float64(40.917508417508415), np.float64(46.44836791651499), np.float64(19.228682170542637), np.float64(4.469387755102041), np.float64(4.475998126683058), np.float64(1.7638888888888886), np.float64(4.922962962962963), np.float64(11.083333333333334), np.float64(41.81170647041276), np.float64(178.57777777777778), np.float64(43.040849673202615), np.float64(5.05253824541904), np.float64(26.362318840579707), np.float64(180.68939393939397), np.float64(45.46403375755159)]
