num_agents,edge_density,graph_type,dsa_threshold,num_actions,num_iterations,cost_range,y
25,0.25,complete,0.99,7,1000,501,186.72444444444443
90,0.1,erdos_renyi,0.9,10,1000,4,1.834389284508708
100,0.25,barabasi_albert,0.1,6,1000,4,1.8367346938775508
75,0.9,erdos_renyi,0.25,7,50,101,49.662709006926995
25,0.75,complete,0.75,5,1000,501,226.6562962962963
90,0.75,erdos_renyi,0.9,7,500,501,239.74528379434693
100,0.9,barabasi_albert,0.99,9,1000,4,1.609848484848485
90,0.5,barabasi_albert,0.75,10,500,101,42.81439393939394
75,0.99,complete,0.25,5,50,11,5.429438174978764
100,0.9,complete,0.99,7,500,51,24.379723157500937
25,0.25,complete,0.25,6,50,51,23.186666666666667
10,0.1,complete,0.25,9,100,4,1.4166666666666667
90,0.99,erdos_renyi,0.1,6,200,11,5.436258860630734
90,0.99,barabasi_albert,0.9,3,500,101,39.22988505747126
25,0.5,barabasi_albert,0.1,9,500,101,40.724637681159415
100,0.1,complete,0.25,6,500,101,48.22895622895623
75,0.5,complete,0.5,10,500,101,48.83080990146599
90,0.5,barabasi_albert,0.9,8,200,51,20.265151515151516
50,0.75,complete,0.1,3,50,501,248.3162672476398
100,0.1,erdos_renyi,0.75,6,200,101,45.46630116959064
25,0.9,erdos_renyi,0.75,9,50,101,46.53697366753434
50,0.25,complete,0.1,9,200,501,239.28758169934642
25,0.75,complete,0.1,5,100,501,238.70074074074077
10,0.1,barabasi_albert,0.5,6,100,501,40.0
100,0.75,erdos_renyi,0.1,8,1000,501,246.11414657825412
50,0.1,complete,0.1,8,50,11,5.131147540983606
25,0.25,complete,0.1,10,100,4,1.8622222222222222
100,0.9,complete,0.5,9,200,501,244.0233445566779
75,0.25,barabasi_albert,0.99,6,100,4,1.4259259259259258
25,0.25,barabasi_albert,0.75,5,200,4,1.3939393939393938
90,0.25,complete,0.99,9,200,101,47.29037629037629
25,0.25,erdos_renyi,0.25,9,500,4,1.813296176345058
10,0.25,erdos_renyi,0.5,4,200,101,35.957070707070706
50,0.9,complete,0.1,9,500,11,5.357531760435571
25,0.5,erdos_renyi,0.5,2,200,101,46.74080179080179
75,0.9,complete,0.1,2,1000,101,51.61834201041248
25,0.5,complete,0.9,6,50,11,4.877777777777777
50,0.75,erdos_renyi,0.99,10,100,11,5.15567749061801
100,0.5,barabasi_albert,0.1,4,500,501,234.89455782312925
50,0.99,complete,0.75,9,100,501,239.58058305830582
