num_agents,edge_density,graph_type,dsa_threshold,num_actions,num_iterations,cost_range,y
25,0.25,erdos_renyi,0.9,10,100,101,38.705128205128204
10,0.99,barabasi_albert,0.99,6,500,101,23.066666666666666
75,0.1,erdos_renyi,0.75,9,500,501,207.33333333333334
25,0.25,erdos_renyi,0.25,3,100,101,43.7125
90,0.75,barabasi_albert,0.25,8,200,51,21.37121212121212
50,0.5,complete,0.99,6,50,501,222.4346405228758
50,0.9,erdos_renyi,0.25,10,100,501,237.80578139114724
50,0.99,erdos_renyi,0.1,8,500,11,5.275206611570248
50,0.9,barabasi_albert,0.5,8,200,11,4.313953488372093
100,0.9,erdos_renyi,0.5,3,200,501,243.54780071813286
90,0.1,erdos_renyi,0.75,7,200,51,22.27751196172249
10,0.99,barabasi_albert,0.99,8,1000,101,23.2
10,0.1,erdos_renyi,0.1,9,50,501,146.2
75,0.1,barabasi_albert,0.75,8,200,11,3.142857142857143
100,0.9,barabasi_albert,0.5,5,50,4,1.8068181818181819
75,0.9,barabasi_albert,0.1,2,200,11,5.595419847328245
25,0.75,barabasi_albert,0.5,7,1000,4,1.4411764705882353
10,0.1,barabasi_albert,0.9,7,100,11,1.0
50,0.75,barabasi_albert,0.99,9,1000,101,31.34722222222222
25,0.9,complete,0.5,4,100,11,5.022222222222222
25,0.9,complete,0.5,6,1000,11,4.9222222222222225
90,0.1,barabasi_albert,0.9,3,200,501,129.35294117647058
75,0.75,complete,0.9,8,100,501,234.3959634790966
100,0.1,barabasi_albert,0.1,2,200,11,5.578947368421052
50,0.1,complete,0.5,10,50,501,221.63114754098362
100,0.75,erdos_renyi,0.1,7,1000,51,24.742802824551873
25,0.5,complete,0.1,4,200,4,1.8333333333333333
75,0.9,complete,0.25,10,500,51,24.6031237484982
75,0.99,barabasi_albert,0.25,4,1000,501,216.77777777777777
25,0.99,barabasi_albert,0.25,2,500,51,22.355555555555554
10,0.9,barabasi_albert,0.9,6,50,11,3.142857142857143
90,0.99,complete,0.25,6,1000,501,241.82467204843593
10,0.99,complete,0.25,8,50,501,214.9090909090909
100,0.75,complete,0.9,3,50,51,24.013739224137932
25,0.1,complete,0.1,10,500,51,17.966666666666665
75,0.25,barabasi_albert,0.99,7,500,501,142.02777777777777
50,0.1,barabasi_albert,0.5,6,1000,51,11.777777777777779
50,0.75,complete,0.75,3,200,4,1.8758169934640523
50,0.99,erdos_renyi,0.9,9,200,501,233.37098103874692
90,0.99,erdos_renyi,0.99,7,50,101,47.62852822580645
90,0.75,barabasi_albert,0.5,5,200,4,1.7196969696969697
10,0.25,barabasi_albert,0.75,9,50,101,18.0
25,0.1,erdos_renyi,0.5,2,100,11,4.318181818181818
25,0.5,barabasi_albert,0.25,9,200,4,1.608695652173913
90,0.75,barabasi_albert,0.25,6,500,11,4.818181818181818
100,0.5,erdos_renyi,0.75,8,500,11,5.229454841334419
90,0.1,erdos_renyi,0.25,7,100,11,5.089041095890411
100,0.9,erdos_renyi,0.9,10,1000,11,5.269730941704036
100,0.5,erdos_renyi,0.75,2,50,4,1.9482477587612061
90,0.5,complete,0.75,5,100,501,235.84415584415584
75,0.9,complete,0.75,4,50,101,48.20824989987985
75,0.99,barabasi_albert,0.5,4,200,101,43.520833333333336
25,0.75,erdos_renyi,0.5,3,200,101,42.47488584474886
50,0.5,erdos_renyi,0.99,6,500,501,217.491961414791
100,0.5,barabasi_albert,0.99,10,50,4,1.4591836734693877
50,0.5,complete,0.25,9,100,101,47.44117647058823
25,0.99,erdos_renyi,0.1,2,100,101,49.64666666666667
90,0.5,erdos_renyi,0.1,7,100,101,48.7685631629701
100,0.75,complete,0.25,6,1000,501,242.8135775862069
90,0.1,barabasi_albert,0.75,9,1000,101,22.823529411764707
10,0.9,barabasi_albert,0.99,8,100,101,30.357142857142858
90,0.25,erdos_renyi,0.99,8,500,101,44.242063492063494
50,0.1,erdos_renyi,0.1,2,1000,4,2.007575757575758
100,0.25,barabasi_albert,0.75,6,1000,501,165.42857142857142
90,0.1,erdos_renyi,0.99,9,50,11,4.767015706806283
10,0.25,complete,0.25,3,200,11,3.909090909090909
50,0.99,erdos_renyi,0.5,4,50,101,48.774299835255356
10,0.1,complete,0.5,9,500,4,1.0
50,0.5,erdos_renyi,0.25,8,100,11,5.107744107744108
90,0.1,erdos_renyi,0.99,2,200,101,41.98444444444444
75,0.25,erdos_renyi,0.99,4,1000,501,204.63356643356644
10,0.1,erdos_renyi,0.9,4,50,51,13.285714285714286
50,0.99,complete,0.5,5,500,101,47.382013201320134
10,0.25,erdos_renyi,0.1,5,500,4,1.5625
75,0.5,complete,0.25,6,50,101,48.927180966113916
10,0.1,complete,0.9,10,500,101,3.0
75,0.5,barabasi_albert,0.5,5,100,11,4.383561643835616
25,0.9,erdos_renyi,0.99,4,500,11,4.283636363636363
100,0.25,barabasi_albert,0.25,2,500,11,5.3061224489795915
25,0.25,barabasi_albert,0.5,9,200,51,13.272727272727273
25,0.25,barabasi_albert,0.1,4,1000,4,1.3636363636363635
25,0.5,erdos_renyi,0.1,9,500,501,215.21428571428572
90,0.75,barabasi_albert,0.99,7,1000,101,38.29545454545455
25,0.5,complete,0.75,8,50,51,22.393333333333334
90,0.75,barabasi_albert,0.25,6,50,51,22.022727272727273
75,0.1,barabasi_albert,0.1,3,1000,101,27.642857142857142
10,0.9,barabasi_albert,0.25,7,1000,101,25.0
100,0.99,barabasi_albert,0.1,10,1000,51,22.072164948453608
75,0.99,complete,0.5,7,1000,11,5.283218056061157
100,0.25,complete,0.25,6,200,51,24.33468067906225
25,0.75,complete,0.5,4,500,101,43.42666666666667
25,0.25,barabasi_albert,0.1,2,100,11,4.454545454545454
25,0.9,complete,0.9,6,100,4,1.7962962962962963
75,0.5,complete,0.9,4,500,501,226.54866618601298
90,0.75,barabasi_albert,0.99,10,1000,4,1.5454545454545454
75,0.75,barabasi_albert,0.99,3,50,101,35.174311926605505
10,0.5,barabasi_albert,0.75,2,50,11,4.75
